;;;;;;;;;;;;x,,,,,,,
cholera_vaccine_desc;针对霍乱的疫苗已经研制成功，这不但能控制霍乱在我国的传染，更是全世界处在苦难之中的人民的福音;;;;;;;;;;;;x,,,,,,
anaesthesia;麻醉;;;;;;;;;;;;x,,,,,,,
anaesthesia_desc;麻醉术的发明能让患者避免手术过程的疼痛。这是医学技术史上的一个重大进步;;;;;;;;;;;;x,,,,,,,
antitoxins;抗毒素;;;;;;;;;;;;x,,,,,,,
antitoxins_desc;抗毒素的发现是一项重要的进展，它不但能抵抗毒菌，也让人们更加了解如何去消灭传播疾病的细菌和微生物;;;;;;;;;;;;x,,,,,,
vitamins;维他命;;;;;;;;;;;;x,,,,,,,
vitamins_desc;在发现维生素之前，人们唯一摄入营养的方式就是进食。维生素极大地提升了大众的身体健康;;;;;;;;;;;;x,,,,,,
sanitation;卫生设施;;;;;;;;;;;;x,,,,,,,
sanitation_desc;直到下水道设施建立起来，人们才把城市垃圾和污水当做健康卫生问题来对待。有了下水道，垃圾变少了，街道变得干净许多，鼠疫也得到了控制，城市才迅速地扩张起来;;;;;;;;;;;;x,,,,,,
small_families;小型家庭;;;;;;;;;;;;x,,,,,,,
small_families_desc;现在人们更注重提升自我和家庭成员的生活质量，而不用担心之前一直困扰大家的死亡率的问题。普通家庭比以前变得更小，儿女成群的现象也不再是常态了;;;;;;;;;;;;x,,,,,
medium_families;中型家庭;;;;;;;;;;;;x,,,,,,,
medium_families_desc;社会观念的转变使得家庭不再像之前那样庞大。多生多育，把他们教导成人的观念不复流行。不过，要是能够承担得起，越多的儿女对于家庭来说当然还是越好;;;;;;;;;;;;x,,,
large_families;大型家庭;;;;;;;;;;;;x,,,,,,,
large_families_desc;拥有许多儿女的家庭观念正在发生改变，其结果是造成了教育设施的紧张。尽管可能要承受经济困难，但拥有许多小孩仍被视为成功的一种标志;;;;;;;;;;;;x,,,,,
thomas_robert_malthus;托马斯·罗伯特·马尔萨斯;;;;;;;;;;;;x,,,,,,,
thomas_robert_malthus_desc;托马斯·罗伯特·马尔萨斯是一名英国学者，在政治经济学和人口统计学上有一定影响。他向人们普及了经济学中租借的概念;;;;;;;;;;;;x,,,,,,
defamation_of_women;女性歧视;;;;;;;;;;;;x,,,,,,,
defamation_of_women_desc;人们认为女性相对于男性来说是比较低级的，尤其不善于参与政治活动，而这种社会观念开始转变了。之前普遍的观点是女人是一种较低等的存在，是为了成为男人的附属和抚养小孩而存在的;;;;;;;;;;;;x,,,,,
child_labour;童工;;;;;;;;;;;;x,,,,,,,
child_labour_desc;工业革命的成功使得劳动力变得短缺，于是企业家开始寻求最便宜而且最充足的劳力资源：儿童。城市中的儿童当面临家庭困难而没有其他工作可供选择时，只能屈服于这种难以容忍的状况之中;;;;;;;;;;;;x,,,,
slums;贫民窟;;;;;;;;;;;;x,,,,,,,
slums_desc;农村向城市涌入的大规模人口导致了城市贫民人口的增长，以及贫民区的迅速扩张。那是罪恶与贫穷的集中地，最终因为无法管理控制而给城市的快速发展带来了限制;;;;;;;;;;;;x,,,,,
deep_mines;深矿井开采;;;;;;;;;;;;x,,,,,,,
deep_mines_desc;新型挖掘技术的发展，尤其是挖掘工具的改进，使得人们能够比以前更深入地探索到地表之下的矿石。矿场的工作环境却仍旧十分恶劣，经常有事故发生;;;;;;;;;;;;x,,,,
smog;烟雾;;;;;;;;;;;;x,,,,,,,
smog_desc;工业生产和燃煤燃料的迅速增长导致了“烟雾”的产生。在许多城市，烟和雾的组合导致的不卫生的城市环境中，造成了许多并发症的产生。;;;;;;;;;;;;x,,,,,,
clausewitzian_theory;克劳塞维茨战争论;;;;;;;;;;;;x,,,,,,,
clausewitzian_theory_desc;卡尔·冯·克劳塞维茨是一名普鲁士士兵，也是致力于研究战争在道德和政治方面影响的德国军事理论家。他对战争持有一种浪漫主义的黑格尔式的观点，辩证地看待战争所带来的不同方面的影响，指出在瞬息万变的战场上和指挥官灵机应变的指导下，会成就许多令人意想不到的发展。克劳塞维茨认为历史是对复杂的抽象事物的综合，而不一定符合人们的经验;;;;;;;;;;;;x,,,,,
jominian_attitude;约米尼战争论;;;;;;;;;;;;x,,,,,,,
